chapter,method,character,mention
23,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"As her successor in that house, she regarded her with jealous abhorrence"
23,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,she complained bitterly of all this to her husband
23,chapter_all_gpt-4o-mini_individual,Mr. Bennet,"Mr. Bennet’s emotions were much more tranquil on the occasion, and such as he did experience he pronounced to be of a most agreeable sort"
23,chapter_all_gpt-4o-mini_individual,Mr. Bennet,"it gratified him, he said, to discover that Charlotte Lucas, whom he had been used to think tolerably sensible, was as foolish as his wife, and more foolish than his daughter"
23,chapter_all_gpt-4o-mini_individual,Jane,Jane confessed herself a little surprised at the match
23,chapter_all_gpt-4o-mini_individual,Kitty,"Kitty and Lydia were far from envying Miss Lucas, for Mr. Collins was only a clergyman"
23,chapter_all_gpt-4o-mini_individual,Mr. Collins,"Mr. Collins returned most punctually on the Monday fortnight, but his reception at Longbourn was not quite so gracious as it had been on his first introduction"
23,chapter_all_gpt-4o-mini_individual,Mr. Collins,"He was too happy, however, to need much attention"
23,chapter_all_gpt-4o-mini_individual,Lady Lucas,Lady Lucas could not be insensible of triumph on being able to retort on Mrs. Bennet the comfort of having a daughter well married
23,chapter_all_gpt-4o-mini_individual,Lady Lucas,she called at Longbourn rather oftener than usual to say how happy she was
23,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,Charlotte made her turn with fonder regard to her sister
23,chapter_all_gpt-4o-mini_individual,Lydia,"Lydia, always unguarded and often uncivil, boisterously exclaimed"
37,chapter_all_gpt-4o-mini_individual,Elizabeth,"Elizabeth could not see Lady Catherine without recollecting that, had she chosen it, she might by this time have been presented to her as her future niece."
37,chapter_all_gpt-4o-mini_individual,Mr. Collins,"Mr. Collins having been in waiting near the lodges, to make them his parting obeisance."
37,chapter_all_gpt-4o-mini_individual,Miss de Bourgh,Miss de Bourgh exerted herself so far as to courtesy and hold out her hand to both.
6,chapter_all_gpt-4o-mini_individual,Elizabeth,"she was only the man who made himself agreeable nowhere, and who had not thought her handsome enough to dance with"
6,chapter_all_gpt-4o-mini_individual,Elizabeth,with great energy; but it is a subject which always makes a lady energetic
6,chapter_all_gpt-4o-mini_individual,Elizabeth,"you excel so much in the dance, Miss Eliza, that it is cruel to deny me the happiness of seeing you"
6,chapter_all_gpt-4o-mini_individual,Elizabeth,"her resistance had not injured her with the gentleman, and he was thinking of her with some complacency"
6,chapter_all_gpt-4o-mini_individual,Mr. Darcy,he had looked at her without admiration at the ball
6,chapter_all_gpt-4o-mini_individual,Mr. Darcy,he looked at her only to criticise
6,chapter_all_gpt-4o-mini_individual,Mr. Darcy,he began to find it was rendered uncommonly intelligent by the beautiful expression of her dark eyes
6,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"Though he had detected with a critical eye more than one failure of perfect symmetry in her form, he was forced to acknowledge her figure to be light and pleasing"
6,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"in spite of his asserting that her manners were not those of the fashionable world, he was caught by their easy playfulness"
6,chapter_all_gpt-4o-mini_individual,Jane,"Jane united with great strength of feeling, a composure of temper and an uniform cheerfulness of manner, which would guard her from the suspicions of the impertinent"
6,chapter_all_gpt-4o-mini_individual,Mary,"having, in consequence of being the only plain one in the family, worked hard for knowledge and accomplishments, was always impatient for display"
6,chapter_all_gpt-4o-mini_individual,Mary,"Mary had neither genius nor taste; and though vanity had given her application, it had given her likewise a pedantic air and conceited manner, which would have injured a higher degree of excellence than she had reached"
6,chapter_all_gpt-4o-mini_individual,Sir William Lucas,a large party were assembled
7,chapter_all_gpt-4o-mini_individual,Mr. Bennet,"Mr. Bennet’s property consisted almost entirely in an estate of two thousand a year, which, unfortunately for his daughters, was entailed, in default of heirs male, on a distant relation; and their mother’s fortune, though ample for her situation in life, could but ill supply the deficiency of his."
7,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"Mrs. Bennet’s eyes sparkled with pleasure, and she was eagerly calling out, while her daughter read."
7,chapter_all_gpt-4o-mini_individual,Lydia,"Lydia, with perfect indifference, continued to express her admiration of Captain Carter, and her hope of seeing him in the course of the day, as he was going the next morning to London."
7,chapter_all_gpt-4o-mini_individual,Lydia,Lydia: 'I wonder my aunt did not tell us of that.'
7,chapter_all_gpt-4o-mini_individual,Lydia,"'If we make haste,' said Lydia, as they walked along, 'perhaps we may see something of Captain Carter, before he goes.'"
7,chapter_all_gpt-4o-mini_individual,Elizabeth,"She was shown into the breakfast parlour, where all but Jane were assembled, and where her appearance created a great deal of surprise."
7,chapter_all_gpt-4o-mini_individual,Elizabeth,"That she should have walked three miles so early in the day in such dirty weather, and by herself, was almost incredible to Mrs. Hurst and Miss Bingley; and Elizabeth was convinced that they held her in contempt for it."
7,chapter_all_gpt-4o-mini_individual,Elizabeth,The former was divided between admiration of the brilliancy which exercise had given to her complexion and doubt as to the occasion’s justifying her coming so far alone.
7,chapter_all_gpt-4o-mini_individual,Mr. Bingley,In their brother’s manners there was something better than politeness--there was good-humour and kindness.
7,chapter_all_gpt-4o-mini_individual,Miss Bingley,"Miss Bingley offered her the carriage, and she only wanted a little pressing to accept it, when Jane testified such concern at parting with her that Miss Bingley was obliged to convert the offer of the chaise into an invitation to remain at Netherfield for the present."
7,chapter_all_gpt-4o-mini_individual,Mr. Darcy,The former was divided between admiration of the brilliancy which exercise had given to her complexion and doubt as to the occasion’s justifying her coming so far alone.
36,chapter_all_gpt-4o-mini_individual,Jane,"Jane’s feelings, though fervent, were little displayed, and that there was a constant complacency in her air and manner, not often united with great sensibility."
36,chapter_all_gpt-4o-mini_individual,Mr. Bingley,"even Wickham had allowed him merit as a brother, and that she had often heard him speak so affectionately of his sister as to prove him capable of some amiable feeling;"
22,chapter_all_gpt-4o-mini_individual,Mr. Collins,the stupidity with which he was favoured by nature must guard his courtship from any charm that could make a woman wish for its continuance
22,chapter_all_gpt-4o-mini_individual,Mr. Collins,"His reception, however, was of the most flattering kind."
22,chapter_all_gpt-4o-mini_individual,Mary,there was a solidity in his reflections which often struck her
22,chapter_all_gpt-4o-mini_individual,Mary,"and though by no means so clever as herself, she thought that, if encouraged to read and improve himself by such an example as hers, he might become a very agreeable companion."
22,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,"the least agreeable circumstance in the business was the surprise it must occasion to Elizabeth Bennet, whose friendship she valued beyond that of any other person"
22,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,"Charlotte, the wife of Mr. Collins, was a most humiliating picture!"
34,chapter_all_gpt-4o-mini_individual,Elizabeth,her spirits were a little fluttered
34,chapter_all_gpt-4o-mini_individual,Elizabeth,with all that affection could do
34,chapter_all_gpt-4o-mini_individual,Elizabeth,deeply-rooted dislike
34,chapter_all_gpt-4o-mini_individual,Elizabeth,growing more angry every moment
34,chapter_all_gpt-4o-mini_individual,Elizabeth,saw him start at this
34,chapter_all_gpt-4o-mini_individual,Elizabeth,heard him the next moment open the front door and quit the house
34,chapter_all_gpt-4o-mini_individual,Elizabeth,her astonishment was increased by every review of it
34,chapter_all_gpt-4o-mini_individual,Elizabeth,her mind was now painfully great
34,chapter_all_gpt-4o-mini_individual,Mr. Darcy,In a hurried manner
34,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"He sat down for a few moments, and then getting up walked about the room"
34,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"His sense of her inferiority, of its being a degradation, of the family obstacles which judgment had always opposed to inclination"
34,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"spoke of apprehension and anxiety, but his countenance expressed real security"
34,chapter_all_gpt-4o-mini_individual,Mr. Darcy,leaning against the mantel-piece with his eyes fixed on her face
34,chapter_all_gpt-4o-mini_individual,Mr. Darcy,complexion became pale with anger
34,chapter_all_gpt-4o-mini_individual,Mr. Darcy,the disturbance of his mind was visible in every feature
34,chapter_all_gpt-4o-mini_individual,Mr. Darcy,struggling for the appearance of composure
34,chapter_all_gpt-4o-mini_individual,Colonel Fitzwilliam,agreeable as he was
20,chapter_all_gpt-4o-mini_individual,Elizabeth,"Lizzy is a very headstrong, foolish girl, and does not know her own interest"
20,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth replied that it was
20,chapter_all_gpt-4o-mini_individual,Elizabeth,"Although her manner varied, however, her determination never did"
20,chapter_all_gpt-4o-mini_individual,Mr. Bennet,"Mr. Bennet raised his eyes from his book as she entered, and fixed them on her face with a calm unconcern"
20,chapter_all_gpt-4o-mini_individual,Mr. Bennet,"His conduct may, I fear, be objectionable in having accepted my dismission from your daughter’s lips instead of your own"
20,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"Mrs. Bennet, having dawdled about in the vestibule to watch for the end of the conference"
20,chapter_all_gpt-4o-mini_individual,Mr. Collins,Mr. Collins was not left long to the silent contemplation of his successful love
20,chapter_all_gpt-4o-mini_individual,Mr. Collins,Mr. Collins entered with an air more stately than usual
20,chapter_all_gpt-4o-mini_individual,Mr. Collins,"Mr. Collins, whose inquiries after herself and all her family were very minute"
20,chapter_all_gpt-4o-mini_individual,Jane,"Jane, with all possible mildness, declined interfering"
20,chapter_all_gpt-4o-mini_individual,Lydia,"Lydia, who, flying to her, cried in a half whisper"
20,chapter_all_gpt-4o-mini_individual,Kitty,"Kitty, who came to tell the same news"
20,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,Charlotte Lucas came to spend the day with them
5,chapter_all_gpt-4o-mini_individual,Lady Lucas,"Lady Lucas was a very good kind of woman, not too clever to be a valuable neighbour to Mrs. Bennet."
5,chapter_all_gpt-4o-mini_individual,Mr. Darcy,I dare say he had heard somehow that Mrs. Long does not keep a carriage.
5,chapter_all_gpt-4o-mini_individual,Mary,"Pride,” observed Mary, who piqued herself upon the solidity of her reflections."
5,chapter_all_gpt-4o-mini_individual,Sir William Lucas,"Sir William Lucas had been formerly in trade in Meryton, where he had made a tolerable fortune, and risen to the honour of knighthood by an address to the king during his mayoralty."
5,chapter_all_gpt-4o-mini_individual,Sir William Lucas,he was all attention to everybody.
5,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,"a sensible, intelligent young woman, about twenty-seven.”"
4,chapter_all_gpt-4o-mini_individual,Elizabeth,"He is also handsome, replied Elizabeth, which a young man ought likewise to be if he possibly can. His character is thereby complete."
4,chapter_all_gpt-4o-mini_individual,Elizabeth,"With your good sense, to be so honestly blind to the follies and nonsense of others!"
4,chapter_all_gpt-4o-mini_individual,Miss Bingley,their behaviour at the assembly had not been calculated to please in general
4,chapter_all_gpt-4o-mini_individual,Miss Bingley,"very fine ladies; not deficient in good-humour when they were pleased, nor in the power of being agreeable where they chose it; but proud and conceited."
4,chapter_all_gpt-4o-mini_individual,Miss Bingley,They were rather handsome;
4,chapter_all_gpt-4o-mini_individual,Mr. Bingley,"handy-mannered, lively; and I never saw such happy manners! so much ease, with such perfect good breeding!"
4,chapter_all_gpt-4o-mini_individual,Mr. Bingley,"was pleased with the situation and the principal rooms, satisfied with what the owner said in its praise, and took it immediately."
4,chapter_all_gpt-4o-mini_individual,Mr. Bingley,"Bingley was endeared to Darcy by the easiness, openness, and ductility of his temper, though no disposition could offer a greater contrast to his own."
4,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"In understanding, Darcy was the superior. Bingley was by no means deficient; but Darcy was clever."
4,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"he was at the same time haughty, reserved, and fastidious; and his manners, though well bred, were not inviting."
4,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Darcy had seen a collection of people in whom there was little beauty and no fashion
4,chapter_all_gpt-4o-mini_individual,Mrs. Hurst,"who had married a man of more fashion than fortune, less disposed to consider his house as her home when it suited her."
4,chapter_all_gpt-4o-mini_individual,Mrs. Hurst,"Mrs. Hurst and her sister allowed it to be so; but still they admired her and liked her, and pronounced her to be a sweet girl, and one whom they should not object to know more of."
21,chapter_all_gpt-4o-mini_individual,Jane,"the envelope contained a sheet of elegant, little, hot-pressed paper, well covered with a lady’s fair, flowing hand"
21,chapter_all_gpt-4o-mini_individual,Jane,her sister’s countenance change as she read it
21,chapter_all_gpt-4o-mini_individual,Jane,Jane recollected herself soon
21,chapter_all_gpt-4o-mini_individual,Jane,"tried to join, with her usual cheerfulness, in the general conversation"
21,chapter_all_gpt-4o-mini_individual,Mr. Collins,"his feelings were chiefly expressed, not by embarrassment or dejection, or by trying to avoid her, but by stiffness of manner and resentful silence"
21,chapter_all_gpt-4o-mini_individual,Mr. Collins,He scarcely ever spoke to her
21,chapter_all_gpt-4o-mini_individual,Miss Bingley,high-flown expressions
21,chapter_all_gpt-4o-mini_individual,Wickham,his regret and vexation and the concern of everybody were well talked over
21,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet’s ill humour or ill health
21,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,she bewailed it as exceedingly unlucky that the ladies should happen to go away just as they were all getting so intimate together
35,chapter_all_gpt-4o-mini_individual,Elizabeth,"her look and manners were open, cheerful, and engaging as ever, but without any symptom of peculiar regard"
35,chapter_all_gpt-4o-mini_individual,Mr. Darcy,a look of haughty composure
35,chapter_all_gpt-4o-mini_individual,Mr. Darcy,the part which I acted is now to be explained
38,chapter_all_gpt-4o-mini_individual,Elizabeth,she had spent six weeks with great enjoyment
38,chapter_all_gpt-4o-mini_individual,Elizabeth,she firmly believed and rejoiced in his domestic comforts
38,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth privately added
38,chapter_all_gpt-4o-mini_individual,Jane,Jane looked well
38,chapter_all_gpt-4o-mini_individual,Mr. Collins,with a more smiling solemnity replied
38,chapter_all_gpt-4o-mini_individual,Mr. Collins,Words were insufficient for the elevation of his feelings
38,chapter_all_gpt-4o-mini_individual,Mr. Collins,he was obliged to walk about the room
38,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,Poor Charlotte! it was melancholy to leave her to such society
38,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,she did not seem to ask for compassion
38,chapter_all_gpt-4o-mini_individual,Maria Lucas,Maria followed
38,chapter_all_gpt-4o-mini_individual,Mr. Gardiner,"his compliments to Mr. and Mrs. Gardiner, though unknown"
10,chapter_all_gpt-4o-mini_individual,Elizabeth,"Elizabeth took up some needlework, and was sufficiently amused in attending to what passed between Darcy and his companion."
10,chapter_all_gpt-4o-mini_individual,Elizabeth,"She hardly knew how to suppose that she could be an object of admiration to so great a man, and yet that he should look at her because he disliked her was still more strange."
10,chapter_all_gpt-4o-mini_individual,Elizabeth,She liked him too little to care for his approbation.
10,chapter_all_gpt-4o-mini_individual,Elizabeth,there was a mixture of sweetness and archness in her manner which made it difficult for her to affront anybody.
10,chapter_all_gpt-4o-mini_individual,Miss Bingley,"Miss Bingley, seated near him, was watching the progress of his letter."
10,chapter_all_gpt-4o-mini_individual,Miss Bingley,Miss Bingley moved with alacrity to the pianoforte.
10,chapter_all_gpt-4o-mini_individual,Miss Bingley,"Miss Bingley saw, or suspected, enough to be jealous."
10,chapter_all_gpt-4o-mini_individual,Mr. Bingley,"I am exceedingly gratified, said Bingley, by your converting what my friend says into a compliment on the sweetness of my temper."
10,chapter_all_gpt-4o-mini_individual,Mr. Darcy,"He was rather offended, and therefore checked her laugh."
10,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Mr. Darcy smiled.
10,chapter_all_gpt-4o-mini_individual,Mrs. Hurst,Mrs. Hurst and Miss Bingley had spent some hours of the morning with the invalid.
9,chapter_all_gpt-4o-mini_individual,Elizabeth,blushing for her mother
9,chapter_all_gpt-4o-mini_individual,Mr. Bingley,unaffectedly civil in his answer
9,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,profuse in her acknowledgments
9,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,offended by his manner of mentioning a country neighbourhood
9,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,did not like to boast of my own child
9,chapter_all_gpt-4o-mini_individual,Lydia,"a stout, well-grown girl of fifteen, with a fine complexion and good-humoured countenance"
9,chapter_all_gpt-4o-mini_individual,Lydia,"had high animal spirits, and a sort of natural self-consequence"
8,chapter_all_gpt-4o-mini_individual,Elizabeth,her dirty petticoat quite escaped my notice.
8,chapter_all_gpt-4o-mini_individual,Elizabeth,She had very little notice from any but him.
8,chapter_all_gpt-4o-mini_individual,Elizabeth,"Miss Eliza Bennet, despises cards. She is a great reader, and has no pleasure in anything else."
8,chapter_all_gpt-4o-mini_individual,Mr. Bingley,"His anxiety for Jane was evident, and his attentions to herself most pleasing."
8,chapter_all_gpt-4o-mini_individual,Miss Bingley,"Her manners were pronounced to be very bad indeed,--a mixture of pride and impertinence: she had no conversation, no style, no taste, no beauty."
8,chapter_all_gpt-4o-mini_individual,Mr. Hurst,"he was an indolent man, who lived only to eat, drink, and play at cards."
8,chapter_all_gpt-4o-mini_individual,Mrs. Hurst,"I have an excessive regard for Jane Bennet,--she is really a very sweet girl."
8,chapter_all_gpt-4o-mini_individual,Mr. Darcy,They were brightened by the exercise.
11,chapter_all_gpt-4o-mini_individual,Elizabeth,"Elizabeth, at work in the opposite corner, saw it all with great delight."
11,chapter_all_gpt-4o-mini_individual,Elizabeth,"Elizabeth was surprised, but agreed to it immediately."
11,chapter_all_gpt-4o-mini_individual,Miss Bingley,Miss Bingley’s eyes were instantly turned towards Darcy.
11,chapter_all_gpt-4o-mini_individual,Miss Bingley,"Her figure was elegant, and she walked well."
11,chapter_all_gpt-4o-mini_individual,Miss Bingley,"Miss Bingley’s attention was quite as much engaged in watching Mr. Darcy’s progress through his book, as in reading her own."
11,chapter_all_gpt-4o-mini_individual,Mr. Bingley,He was full of joy and attention.
11,chapter_all_gpt-4o-mini_individual,Mr. Hurst,"Mr. Hurst had, therefore, nothing to do but to stretch himself on one of the sofas and go to sleep."
11,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Darcy took up a book.
11,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Darcy looked up. He was as much awake to the novelty of attention in that quarter as Elizabeth herself could be.
11,chapter_all_gpt-4o-mini_individual,Mrs. Hurst,"Mrs. Hurst, principally occupied in playing with her bracelets and rings, joined now and then in her brother’s conversation with Miss Bennet."
39,chapter_all_gpt-4o-mini_individual,Mr. Bennet,"Their reception at home was most kind. Mrs. Bennet rejoiced to see Jane in undiminished beauty; and more than once during dinner did Mr. Bennet say voluntarily to Elizabeth, 'I am glad you are come back, Lizzy.'"
39,chapter_all_gpt-4o-mini_individual,Elizabeth,"Yes,” thought Elizabeth; '_that_ would be a delightful scheme, indeed, and completely do for us at once."
39,chapter_all_gpt-4o-mini_individual,Jane,Mrs. Bennet rejoiced to see Jane in undiminished beauty.
13,chapter_all_gpt-4o-mini_individual,Elizabeth,"Elizabeth was chiefly struck with his extraordinary deference for Lady Catherine, and his kind intention of christening, marrying, and burying his parishioners whenever it were required."
13,chapter_all_gpt-4o-mini_individual,Mr. Collins,"Mr. Collins was punctual to his time, and was received with great politeness by the whole family."
13,chapter_all_gpt-4o-mini_individual,Mr. Collins,"He was a tall, heavy-looking young man of five-and-twenty."
13,chapter_all_gpt-4o-mini_individual,Mr. Collins,"His air was grave and stately, and his manners were very formal."
13,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,Mrs. Bennet’s eyes sparkled.
12,chapter_all_gpt-4o-mini_individual,Elizabeth,she attracted him more than he liked
12,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"was not propitious, at least not to Elizabeth’s wishes"
12,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,could not bring herself to receive them with pleasure before
12,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,wondered at their coming
12,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,thought them very wrong to give so much trouble
12,chapter_all_gpt-4o-mini_individual,Jane,was firm where she felt herself to be right
12,chapter_all_gpt-4o-mini_individual,Miss Bingley,her jealousy and dislike of one sister much exceeded her affection for the other
12,chapter_all_gpt-4o-mini_individual,Miss Bingley,her civility to Elizabeth increased at last very rapidly
12,chapter_all_gpt-4o-mini_individual,Miss Bingley,her affection for Jane
12,chapter_all_gpt-4o-mini_individual,Mr. Bingley,The master of the house heard with real sorrow that they were to go so soon
12,chapter_all_gpt-4o-mini_individual,Mr. Bingley,repeatedly tried to persuade Miss Bennet that it would not be safe for her
12,chapter_all_gpt-4o-mini_individual,Mary,"as usual, deep in the study of thorough bass and human nature"
12,chapter_all_gpt-4o-mini_individual,Colonel Forster,it had actually been hinted that Colonel Forster was going to be married
12,chapter_all_gpt-4o-mini_individual,Lydia,had information for them of a different sort
16,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,the grandeur of Lady Catherine and her mansion
16,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,a comparison with the housekeeper’s room
16,chapter_all_gpt-4o-mini_individual,Mr. Collins,seemed to sink into insignificance
16,chapter_all_gpt-4o-mini_individual,Mr. Collins,had still at intervals a kind listener in Mrs. Philips
16,chapter_all_gpt-4o-mini_individual,Mr. Collins,took his station between his cousin Elizabeth and Mrs. Philips
16,chapter_all_gpt-4o-mini_individual,Mr. Collins,had lost every point
16,chapter_all_gpt-4o-mini_individual,Mr. Collins,considered the money as a mere trifle
17,chapter_all_gpt-4o-mini_individual,Elizabeth,her liveliness had been never worse timed
17,chapter_all_gpt-4o-mini_individual,Elizabeth,the idea it suggested of something more
17,chapter_all_gpt-4o-mini_individual,Elizabeth,observed his increasing civilities towards herself
17,chapter_all_gpt-4o-mini_individual,Elizabeth,heard his frequent attempt at a compliment on her wit and vivacity
17,chapter_all_gpt-4o-mini_individual,Jane,her dearest Lizzy
17,chapter_all_gpt-4o-mini_individual,Jane,picturing to herself a happy evening
15,chapter_all_gpt-4o-mini_individual,Elizabeth,equally next to Jane in birth and beauty
15,chapter_all_gpt-4o-mini_individual,Mr. Collins,not a sensible man
15,chapter_all_gpt-4o-mini_individual,Mr. Collins,great humility of manner
15,chapter_all_gpt-4o-mini_individual,Mr. Collins,self-conceit of a weak head
15,chapter_all_gpt-4o-mini_individual,Mr. Collins,"mixture of pride and obsequiousness, self-importance and humility"
15,chapter_all_gpt-4o-mini_individual,Mr. Collins,in seeking a reconciliation with the Longbourn family he had a wife in view
15,chapter_all_gpt-4o-mini_individual,Mr. Collins,"thought it an excellent one, full of eligibility and suitableness, and excessively generous and disinterested on his own part"
15,chapter_all_gpt-4o-mini_individual,Mr. Collins,Miss Bennet’s lovely face confirmed his views
15,chapter_all_gpt-4o-mini_individual,Mrs. Philips,quite awed by such an excess of good breeding
15,chapter_all_gpt-4o-mini_individual,Lydia,intention of walking to Meryton was not forgotten
15,chapter_all_gpt-4o-mini_individual,Wickham,the young man wanted only regimentals to make him completely charming
15,chapter_all_gpt-4o-mini_individual,Wickham,"His appearance was greatly in his favour: he had all the best parts of beauty, a fine countenance, a good figure, and very pleasing address"
29,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,"Lady Catherine was a tall, large woman, with strongly-marked features, which might once have been handsome."
29,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,"Her air was not conciliating, nor was her manner of receiving them such as to make her visitors forget their inferior rank."
29,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,whatever she said was spoken in so authoritative a tone as marked her self-importance
29,chapter_all_gpt-4o-mini_individual,Miss de Bourgh,"Miss de Bourgh was pale and sickly: her features, though not plain, were insignificant."
29,chapter_all_gpt-4o-mini_individual,Miss de Bourgh,"she spoke very little, except in a low voice, to Mrs. Jenkinson"
29,chapter_all_gpt-4o-mini_individual,Maria Lucas,"Maria’s alarm was every moment increasing, and even Sir William did not look perfectly calm."
29,chapter_all_gpt-4o-mini_individual,Maria Lucas,"sat on the edge of her chair, not knowing which way to look"
29,chapter_all_gpt-4o-mini_individual,Mrs. Jenkinson,who was entirely engaged in listening to what she said
29,chapter_all_gpt-4o-mini_individual,Sir William Lucas,"he had but just courage enough to make a very low bow, and take his seat without saying a word"
28,chapter_all_gpt-4o-mini_individual,Mr. Collins,his formal civility was just what it had been
28,chapter_all_gpt-4o-mini_individual,Mr. Collins,"he welcomed them a second time, with ostentatious formality, to his humble abode"
28,chapter_all_gpt-4o-mini_individual,Mr. Collins,everything seemed neat and comfortable
28,chapter_all_gpt-4o-mini_individual,Mr. Collins,"he could number the fields in every direction, and could tell how many trees there were in the most distant clump"
28,chapter_all_gpt-4o-mini_individual,Miss de Bourgh,she is quite a little creature
28,chapter_all_gpt-4o-mini_individual,Miss de Bourgh,she looks sickly and cross
28,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,with a cheerful air with such a companion
28,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,"extremely well pleased, probably, to have the opportunity of showing it without her husband’s help"
28,chapter_all_gpt-4o-mini_individual,Charlotte Lucas,a great air of comfort throughout
28,chapter_all_gpt-4o-mini_individual,Maria Lucas,breathless with agitation
14,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,"Lady Catherine de Bourgh’s attention to his wishes, and consideration for his comfort, appeared very remarkable."
14,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,Mr. Collins was eloquent in her praise.
14,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,"With a most important aspect he protested that he had never in his life witnessed such behaviour in a person of rank--such affability and condescension, as he had himself experienced from Lady Catherine."
14,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,She had been graciously pleased to approve of both the discourses which he had already had the honour of preaching before her.
14,chapter_all_gpt-4o-mini_individual,Lady Catherine de Bourgh,"She had even condescended to advise him to marry as soon as he could, provided he chose with discretion."
14,chapter_all_gpt-4o-mini_individual,Miss de Bourgh,"She is unfortunately of a sickly constitution, which has prevented her making that progress in many accomplishments which she could not otherwise have failed of."
14,chapter_all_gpt-4o-mini_individual,Mr. Collins,He started a subject in which he expected him to shine.
14,chapter_all_gpt-4o-mini_individual,Mr. Collins,The subject elevated him to more than usual solemnity of manner.
14,chapter_all_gpt-4o-mini_individual,Mr. Collins,Mr. Collins was eloquent in her praise.
14,chapter_all_gpt-4o-mini_individual,Mr. Collins,"With a most important aspect he protested that he had never in his life witnessed such behaviour in a person of rank--such affability and condescension, as he had himself experienced from Lady Catherine."
14,chapter_all_gpt-4o-mini_individual,Mr. Collins,He had never seen anything but affability in her.
14,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet scarcely spoke at all.
14,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet was glad to take his guest into the drawing-room again.
14,chapter_all_gpt-4o-mini_individual,Mr. Bennet,"Mr. Bennet accepted the challenge, observing that he acted very wisely in leaving the girls to their own trifling amusements."
14,chapter_all_gpt-4o-mini_individual,Lydia,Lydia gaped as he opened the volume.
58,chapter_all_gpt-4o-mini_individual,Mr. Bingley,"Bingley, who wanted to be alone with Jane, proposed their all walking out."
58,chapter_all_gpt-4o-mini_individual,Mr. Bingley,"Bingley and Jane, however, soon allowed the others to outstrip them. They lagged behind."
58,chapter_all_gpt-4o-mini_individual,Elizabeth,"Elizabeth, feeling all the more than common awkwardness and anxiety of his situation, now forced herself to speak."
58,chapter_all_gpt-4o-mini_individual,Elizabeth,Elizabeth coloured and laughed as she replied
58,chapter_all_gpt-4o-mini_individual,Kitty,Kitty was too much afraid of him to talk.
59,chapter_all_gpt-4o-mini_individual,Elizabeth,She coloured as she spoke
59,chapter_all_gpt-4o-mini_individual,Elizabeth,"Elizabeth, agitated and confused, rather knew that she was happy than felt herself to be so"
59,chapter_all_gpt-4o-mini_individual,Mr. Darcy,Darcy was not of a disposition in which happiness overflows in mirth
59,chapter_all_gpt-4o-mini_individual,Mrs. Bennet,"she began at length to recover, to fidget about in her chair, get up, sit down again, wonder, and bless herself"
59,chapter_all_gpt-4o-mini_individual,Mr. Bennet,Mr. Bennet’s consent should be asked in the course of the evening
