chapter,method,text,character,count
21,chapter_all_gpt-4o-mini_individual,Mr. Reed,Mr. Reed,2
21,chapter_all_gpt-4o-mini_individual,Reed,Reed,29
21,chapter_all_gpt-4o-mini_individual,Mrs. Reed,Mrs. Reed,13
21,chapter_all_gpt-4o-mini_individual,Aunt Reed,Mrs. Reed,2
21,chapter_all_gpt-4o-mini_individual,missis,Mrs. Reed,4
21,chapter_all_gpt-4o-mini_individual,Jane Eyre,Jane,8
21,chapter_all_gpt-4o-mini_individual,Adèle,Adele,3
21,chapter_all_gpt-4o-mini_individual,Bessie Leaven,Bessie,1
21,chapter_all_gpt-4o-mini_individual,Robert Leaven,Robert L,1
21,chapter_all_gpt-4o-mini_individual,John Reed,John Reed,1
21,chapter_all_gpt-4o-mini_individual,Mr. John,John Reed,3
21,chapter_all_gpt-4o-mini_individual,Eliza Reed,Eliza Reed,0
21,chapter_all_gpt-4o-mini_individual,Georgiana,Georgiana,22
